scenario_key,scenario_order,scenario_label,security_layer,run_index,source_file,scenario,run_id,run_number,commit_sha,step_name,start_timestamp,end_timestamp,duration_seconds,status,is_workflow_total,is_security_step,is_deploy_step,is_valid_execution
c2,2,C2 - SAST,sast,1,analysis/raw/c2/timing/c2_run_1.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,unit_tests,2026-06-03T18:02:44Z,2026-06-03T18:02:45Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,1,analysis/raw/c2/timing/c2_run_1.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,workflow_total,2026-06-03T18:02:43Z,2026-06-03T18:04:31Z,108,success,True,False,False,True
c2,2,C2 - SAST,sast,2,analysis/raw/c2/timing/c2_run_2.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,docker_build,2026-06-03T18:52:26Z,2026-06-03T18:52:28Z,2,success,False,False,False,True
c2,2,C2 - SAST,sast,2,analysis/raw/c2/timing/c2_run_2.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,install_dependencies,2026-06-03T18:52:10Z,2026-06-03T18:52:11Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,2,analysis/raw/c2/timing/c2_run_2.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_deploy,2026-06-03T18:53:01Z,2026-06-03T18:53:35Z,34,success,False,False,True,True
c2,2,C2 - SAST,sast,2,analysis/raw/c2/timing/c2_run_2.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,kubernetes_smoke_test,2026-06-03T18:53:35Z,2026-06-03T18:53:40Z,5,success,False,False,True,True
c2,2,C2 - SAST,sast,2,analysis/raw/c2/timing/c2_run_2.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,sonarqube_sast,2026-06-03T18:52:12Z,2026-06-03T18:52:26Z,14,success,False,True,False,True
c2,2,C2 - SAST,sast,2,analysis/raw/c2/timing/c2_run_2.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,unit_tests,2026-06-03T18:52:11Z,2026-06-03T18:52:12Z,1,success,False,False,False,True
c2,2,C2 - SAST,sast,2,analysis/raw/c2/timing/c2_run_2.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,workflow_total,2026-06-03T18:52:10Z,2026-06-03T18:53:40Z,90,success,True,False,False,True
c2,2,C2 - SAST,sast,3,analysis/raw/c2/timing/c2_run_3.csv,C2-sast,26903442016,7,877ea348a4cf1acd8ae53a5eaa647b5492ee286d,docker_build,2026-06-03T19:00:11Z,2026-06-03T19:00:13Z,2,success,False,False,False,True
